erased_artist,prompt_artist,prompt,score1,score2,score3
None,vincentvangogh,"A Wheatfield, with Cypresses by Vincent van Gogh",33.480648040771484,30.47606658935547,31.650178909301758
None,vincentvangogh,"A Wheatfield, with Cypresses by Vincent van Gogh",31.73357582092285,29.567962646484375,30.753719329833984
None,vincentvangogh,"A Wheatfield, with Cypresses by Vincent van Gogh",32.513343811035156,29.764509201049805,31.34654426574707
None,vincentvangogh,"A Wheatfield, with Cypresses by Vincent van Gogh",33.43406295776367,29.682987213134766,32.85066604614258
None,vincentvangogh,"A Wheatfield, with Cypresses by Vincent van Gogh",33.35415267944336,29.55314826965332,32.16630935668945
None,vincentvangogh,Almond Blossoms by Vincent van Gogh,36.247806549072266,29.912572860717773,29.92711639404297
None,vincentvangogh,Almond Blossoms by Vincent van Gogh,35.28675842285156,30.511171340942383,30.21542739868164
None,vincentvangogh,Almond Blossoms by Vincent van Gogh,35.86582946777344,31.190813064575195,30.713743209838867
None,vincentvangogh,Almond Blossoms by Vincent van Gogh,36.245399475097656,29.358121871948242,30.7335205078125
None,vincentvangogh,Almond Blossoms by Vincent van Gogh,36.09700012207031,29.958763122558594,31.73655891418457
None,vincentvangogh,Bedroom in Arles by Vincent van Gogh,36.09005355834961,29.705673217773438,31.190866470336914
None,vincentvangogh,Bedroom in Arles by Vincent van Gogh,35.137699127197266,30.2281551361084,30.19023895263672
None,vincentvangogh,Bedroom in Arles by Vincent van Gogh,35.319129943847656,30.35225486755371,30.358064651489258
None,vincentvangogh,Bedroom in Arles by Vincent van Gogh,33.96569061279297,29.462587356567383,30.21656608581543
None,vincentvangogh,Bedroom in Arles by Vincent van Gogh,37.28204345703125,31.653749465942383,31.06527328491211
None,vincentvangogh,Bridge at Trinquetaille by Vincent van Gogh,36.115440368652344,31.470155715942383,23.964197158813477
None,vincentvangogh,Bridge at Trinquetaille by Vincent van Gogh,34.1411247253418,30.28104019165039,24.09905433654785
None,vincentvangogh,Bridge at Trinquetaille by Vincent van Gogh,37.99728775024414,30.3172550201416,28.444534301757812
None,vincentvangogh,Bridge at Trinquetaille by Vincent van Gogh,36.24159240722656,32.169742584228516,27.697505950927734
None,vincentvangogh,Bridge at Trinquetaille by Vincent van Gogh,38.176029205322266,32.041255950927734,26.048486709594727
None,vincentvangogh,Café Terrace at Night by Vincent van Gogh,33.68061065673828,30.807546615600586,29.906436920166016
None,vincentvangogh,Café Terrace at Night by Vincent van Gogh,32.415122985839844,28.643125534057617,31.316286087036133
None,vincentvangogh,Café Terrace at Night by Vincent van Gogh,33.071136474609375,28.529664993286133,30.948776245117188
None,vincentvangogh,Café Terrace at Night by Vincent van Gogh,32.851417541503906,28.53910255432129,32.171016693115234
None,vincentvangogh,Café Terrace at Night by Vincent van Gogh,32.40829849243164,27.550172805786133,32.45709991455078
None,vincentvangogh,Cypresses by Vincent van Gogh,35.082191467285156,31.470829010009766,28.303646087646484
None,vincentvangogh,Cypresses by Vincent van Gogh,34.427459716796875,30.268972396850586,28.7146053314209
None,vincentvangogh,Cypresses by Vincent van Gogh,34.93014144897461,30.956544876098633,29.170745849609375
None,vincentvangogh,Cypresses by Vincent van Gogh,34.841434478759766,30.136537551879883,28.572664260864258
None,vincentvangogh,Cypresses by Vincent van Gogh,32.25589370727539,29.14363670349121,27.055883407592773
None,vincentvangogh,Enclosed Field with Rising Sun by Vincent van Gogh,31.676410675048828,29.613372802734375,28.228771209716797
None,vincentvangogh,Enclosed Field with Rising Sun by Vincent van Gogh,29.512714385986328,30.410676956176758,26.486652374267578
None,vincentvangogh,Enclosed Field with Rising Sun by Vincent van Gogh,33.7958869934082,30.502960205078125,29.437532424926758
None,vincentvangogh,Enclosed Field with Rising Sun by Vincent van Gogh,31.721343994140625,28.094614028930664,31.12635612487793
None,vincentvangogh,Enclosed Field with Rising Sun by Vincent van Gogh,31.1741886138916,28.5226993560791,27.190757751464844
None,vincentvangogh,Entrance to a Quarry by Vincent van Gogh,30.22857093811035,29.095733642578125,24.078086853027344
None,vincentvangogh,Entrance to a Quarry by Vincent van Gogh,27.939796447753906,29.37175941467285,20.7492618560791
None,vincentvangogh,Entrance to a Quarry by Vincent van Gogh,26.084882736206055,29.249404907226562,19.644508361816406
None,vincentvangogh,Entrance to a Quarry by Vincent van Gogh,31.924468994140625,29.481060028076172,24.872699737548828
None,vincentvangogh,Entrance to a Quarry by Vincent van Gogh,31.556869506835938,30.15672492980957,23.830455780029297
None,vincentvangogh,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,39.631439208984375,29.949920654296875,30.379199981689453
None,vincentvangogh,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,35.574249267578125,30.293798446655273,26.197450637817383
None,vincentvangogh,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,37.87095642089844,30.430370330810547,27.8024845123291
None,vincentvangogh,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,33.575950622558594,29.595720291137695,25.051576614379883
None,vincentvangogh,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,34.0218620300293,30.051977157592773,24.17696762084961
None,vincentvangogh,Green Wheat Field with Cypress by Vincent van Gogh,30.43804168701172,29.205486297607422,32.733516693115234
None,vincentvangogh,Green Wheat Field with Cypress by Vincent van Gogh,32.47886276245117,30.003087997436523,30.24164390563965
None,vincentvangogh,Green Wheat Field with Cypress by Vincent van Gogh,30.084150314331055,28.470157623291016,30.649229049682617
None,vincentvangogh,Green Wheat Field with Cypress by Vincent van Gogh,32.96476745605469,30.7856388092041,33.06234359741211
